news_headline,news_article,news_category,full_text,clean_text
"Nokia wins ₹7,500 cr network equipment order from Bharti Airtel: Reports","Nokia has bagged a multi-year deal with Bharti Airtel to deploy around 3,00,000 radio network units across nine circles to help the company boost 4G network capacity and customer experience. The deal size is around ₹7,500 crore, reports said. Nokia said the rollout will be completed by 2022 and will lay the foundation for providing 5G connectivity in the future.",technology,"Nokia wins ₹7,500 cr network equipment order from Bharti Airtel: Reports. Nokia has bagged a multi-year deal with Bharti Airtel to deploy around 3,00,000 radio network units across nine circles to help the company boost 4G network capacity and customer experience. The deal size is around ₹7,500 crore, reports said. Nokia said the rollout will be completed by 2022 and will lay the foundation for providing 5G connectivity in the future.",nokia win cr network equipment order bharti airtel report nokia bag multi year deal bharti airtel deploy around radio network unit across nine circle help company boost g network capacity customer experience deal size around crore report say nokia say rollout complete lay foundation provide g connectivity future
New immune cell type in breast ducts helps keep tissue healthy: Study,"Melbourne breast cancer researchers claim to have discovered new type of immune cell, that helps keep breast tissue healthy, within mammary ducts. The researchers used 3D imaging techniques to observe how the cells monitored threats in the ducts. They also observed how they maintained tissue health by ""eating"" up dying milk-producing cells needing to be cleared away once lactation stops.",technology,"New immune cell type in breast ducts helps keep tissue healthy: Study. Melbourne breast cancer researchers claim to have discovered new type of immune cell, that helps keep breast tissue healthy, within mammary ducts. The researchers used 3D imaging techniques to observe how the cells monitored threats in the ducts. They also observed how they maintained tissue health by ""eating"" up dying milk-producing cells needing to be cleared away once lactation stops.",new immune cell type breast duct help keep tissue healthy study melbourne breast cancer researcher claim discover new type immune cell help keep breast tissue healthy within mammary duct researcher use image technique observe cell monitor threat duct also observe maintain tissue health eat die milk produce cell need clear away lactation stop
Microsoft Teams accounts could be hijacked via malicious GIFs: Report,"Researchers have found vulnerabilities in Microsoft's video calling platform Microsoft Teams that could allow attackers to hijack users' accounts, CyberArk Labs reported. Attackers could send malicious GIFs or links to steal data and ""take over an organization's entire roster of Teams accounts"". Microsoft worked with CyberArk to resolve the vulnerability and the issue was fixed, Microsoft said. ",technology,"Microsoft Teams accounts could be hijacked via malicious GIFs: Report. Researchers have found vulnerabilities in Microsoft's video calling platform Microsoft Teams that could allow attackers to hijack users' accounts, CyberArk Labs reported. Attackers could send malicious GIFs or links to steal data and ""take over an organization's entire roster of Teams accounts"". Microsoft worked with CyberArk to resolve the vulnerability and the issue was fixed, Microsoft said. ",microsoft team account could hijack via malicious gifs report researcher find vulnerability microsoft video call platform microsoft team could allow attacker hijack user account cyberark lab report attacker could send malicious gifs link steal datum take organization entire roster team account microsoft work cyberark resolve vulnerability issue fix microsoft say
WhatsApp testing Facebook Messenger Rooms shortcut: Report,"WhatsApp is testing the Facebook Messenger Rooms integration on the beta version of its app for Android, WABetaInfo reported. It added that it is testing a shortcut on the platform to lead users straight to Messenger Rooms. The feature is currently under development and WhatsApp is working on making it bug-free, the report said.",technology,"WhatsApp testing Facebook Messenger Rooms shortcut: Report. WhatsApp is testing the Facebook Messenger Rooms integration on the beta version of its app for Android, WABetaInfo reported. It added that it is testing a shortcut on the platform to lead users straight to Messenger Rooms. The feature is currently under development and WhatsApp is working on making it bug-free, the report said.",whatsapp testing facebook messenger room shortcut report whatsapp test facebook messenger room integration beta version app android wabetainfo report add test shortcut platform lead user straight messenger room feature currently development whatsapp work make bug free report say
Tesla cars to respond to traffic lights with latest update,"Tesla's latest software update will allow its vehicles to recognise and respond to traffic lights and stop signs. The feature will slow the vehicle to a stop for all detected traffic lights, including green, blinking yellow and off lights, Tesla said. It added that Autopilot still won't perform turns and the new feature ""will not control for all intersections"".",technology,"Tesla cars to respond to traffic lights with latest update. Tesla's latest software update will allow its vehicles to recognise and respond to traffic lights and stop signs. The feature will slow the vehicle to a stop for all detected traffic lights, including green, blinking yellow and off lights, Tesla said. It added that Autopilot still won't perform turns and the new feature ""will not control for all intersections"".",tesla car respond traffic light late update tesla late software update allow vehicle recognise respond traffic light stop sign feature slow vehicle stop detect traffic light include green blink yellow light tesla say add autopilot still not perform turn new feature not control intersection
NY attorney general calls Amazon's COVID-19 measures 'inadequate',"NY attorney general has written to Amazon saying that COVID-19 measures taken by the firm ""are so inadequate that they may violate several provisions of the Occupational Safety and Health Act''. It added that firing employees sends ""a threatening message to others"". The letter stated that New York's attorney general is also investigating ""other cases of potential illegal retaliation.""",technology,"NY attorney general calls Amazon's COVID-19 measures 'inadequate'. NY attorney general has written to Amazon saying that COVID-19 measures taken by the firm ""are so inadequate that they may violate several provisions of the Occupational Safety and Health Act''. It added that firing employees sends ""a threatening message to others"". The letter stated that New York's attorney general is also investigating ""other cases of potential illegal retaliation.""",ny attorney general call amazon covid measure inadequate ny attorney general write amazon say covid measure take firm inadequate may violate several provision occupational safety health act add fire employee send threatening message letter state new york attorney general also investigate case potential illegal retaliation
Google to shut down its experimental social networking app Shoelace,"Google has announced that it will be shutting down its hyperlocal social media platform called 'Shoelace' on May 12. ""Given the current health crisis, we don't feel that now is the right time to invest further in this project,"" the company added. It also said that it has no plans to reboot Shoelace once mandated social distancing has ended.",technology,"Google to shut down its experimental social networking app Shoelace. Google has announced that it will be shutting down its hyperlocal social media platform called 'Shoelace' on May 12. ""Given the current health crisis, we don't feel that now is the right time to invest further in this project,"" the company added. It also said that it has no plans to reboot Shoelace once mandated social distancing has ended.",google shut experimental social networking app shoelace google announce shut hyperlocal social media platform call shoelace may give current health crisis not feel right time invest project company add also say no plan reboot shoelace mandate social distancing end
Facebook to stream virtual graduation ceremony in US,"Facebook has announced that it will be streaming a virtual graduation ceremony for the ""class of 2020"" on May 15 with commencement address by Oprah Winfrey. US' high schools and colleges will be acknowledged by name, state by state, including photos and videos of the class of 2020. Miley Cyrus will do a special performance of her song, ""The Climb"".",technology,"Facebook to stream virtual graduation ceremony in US. Facebook has announced that it will be streaming a virtual graduation ceremony for the ""class of 2020"" on May 15 with commencement address by Oprah Winfrey. US' high schools and colleges will be acknowledged by name, state by state, including photos and videos of the class of 2020. Miley Cyrus will do a special performance of her song, ""The Climb"".",facebook stream virtual graduation ceremony us facebook announce stream virtual graduation ceremony class may commencement address oprah winfrey us high school college acknowledge name state state include photo video class miley cyrus special performance song climb
Alphabet reports 13% rise in revenue in Q1 2020 to $41.16 billion,"Google's parent company Alphabet has reported revenue of $41.16 billion in the first quarter of 2020, up by 13% from $36.34 billion in Q1 2019. The company delivered $9.87 in per-share income, lower than $10.38 in per-share profit estimated earlier. The company's operating income stood at $7.98 billion and net income stood of $6.84 billion for this quarter.",technology,"Alphabet reports 13% rise in revenue in Q1 2020 to $41.16 billion. Google's parent company Alphabet has reported revenue of $41.16 billion in the first quarter of 2020, up by 13% from $36.34 billion in Q1 2019. The company delivered $9.87 in per-share income, lower than $10.38 in per-share profit estimated earlier. The company's operating income stood at $7.98 billion and net income stood of $6.84 billion for this quarter.",alphabet report rise revenue q billion google parent company alphabet report revenue billion first quarter billion q company deliver per share income low per share profit estimate earlier company operate income stand billion net income stand billion quarter
Apple delays upcoming iPhone's mass production by a month: Report,"Apple has decided to delay mass production of its upcoming iPhone by about a month due to a weakened consumer demand globally amid coronavirus, The Wall Street Journal reported. It added, Apple plans to launch four new iPhone models this year. Apple also plans to slash number of handsets it produces later in 2020 by about 20%, report added.",technology,"Apple delays upcoming iPhone's mass production by a month: Report. Apple has decided to delay mass production of its upcoming iPhone by about a month due to a weakened consumer demand globally amid coronavirus, The Wall Street Journal reported. It added, Apple plans to launch four new iPhone models this year. Apple also plans to slash number of handsets it produces later in 2020 by about 20%, report added.",apple delay upcome iphone mass production month report apple decide delay mass production upcoming iphone month due weaken consumer demand globally amid coronavirus wall street journal report add apple plan launch four new iphone model year apple also plan slash number handset produce later report add
E-commerce offers safest way for social distancing: Amazon India Head,"""E-commerce offers the safest way to ensure social distancing, saving lives and livelihoods,"" Amazon India Head Amit Agarwal said. He further urged the government to allow e-commerce platforms to deliver both essential and non-essential products that citizens need over a ""prolonged period"". He added it would help people ""stay safe"" and would simultaneously jump-start MSMEs.",technology,"E-commerce offers safest way for social distancing: Amazon India Head. ""E-commerce offers the safest way to ensure social distancing, saving lives and livelihoods,"" Amazon India Head Amit Agarwal said. He further urged the government to allow e-commerce platforms to deliver both essential and non-essential products that citizens need over a ""prolonged period"". He added it would help people ""stay safe"" and would simultaneously jump-start MSMEs.",e commerce offer safe way social distancing amazon india head e commerce offer safe way ensure social distancing save life livelihood amazon india head amit agarwal say urge government allow e commerce platform deliver essential non essential product citizen need prolonged period add would help people stay safe would simultaneously jump start msme
Digital identities startup Proxy acquires smart ring maker Motiv,"Smart ring maker Motiv has been acquired by digital identities startup Proxy which hired a majority of Motiv's employees. Proxy specialises in digital key cards, essentially providing a way to use digital devices like smartphones to access businesses and homes. It plans to ""bring digital identity signals to smart rings for the first time"".",technology,"Digital identities startup Proxy acquires smart ring maker Motiv. Smart ring maker Motiv has been acquired by digital identities startup Proxy which hired a majority of Motiv's employees. Proxy specialises in digital key cards, essentially providing a way to use digital devices like smartphones to access businesses and homes. It plans to ""bring digital identity signals to smart rings for the first time"".",digital identity startup proxy acquire smart ring maker motiv smart ring maker motiv acquire digital identity startup proxy hire majority motivs employee proxy specialise digital key card essentially provide way use digital device like smartphone access business home plan bring digital identity signal smart ring first time
Elon Musk close to earning $750 mn payday ahead of quarterly results,Tesla CEO Elon Musk is nearing a $750-million payday after the firm's stock saw a 100% rebound from a low-point on March 18. Musk's stock market value hit a six-month average of $96 billion and Tesla's market capitalization stood at $145 billion. This has made Musk eligible to get the first of the twelve tranches of 1.69 million Tesla shares.,technology,Elon Musk close to earning $750 mn payday ahead of quarterly results. Tesla CEO Elon Musk is nearing a $750-million payday after the firm's stock saw a 100% rebound from a low-point on March 18. Musk's stock market value hit a six-month average of $96 billion and Tesla's market capitalization stood at $145 billion. This has made Musk eligible to get the first of the twelve tranches of 1.69 million Tesla shares.,elon musk close earn mn payday ahead quarterly result tesla ceo elon musk near million payday firm stock see rebound low point march musk stock market value hit six month average billion teslas market capitalization stand billion make musk eligible get first twelve tranche million tesla share
Android ransomware uses fake FBI porn warning to steal users' credit card info,"New Android ransomware has surfaced that encrypts users' files then poses as FBI to accuse users of storing porn on phones and steals their credit card information by asking for a fine. It threatens to post users' porn storage details on FBI Cyber Crime Department's data centre. The ransomware spreads through social media and messenger as a ""video streaming optimiser"".
",technology,"Android ransomware uses fake FBI porn warning to steal users' credit card info. New Android ransomware has surfaced that encrypts users' files then poses as FBI to accuse users of storing porn on phones and steals their credit card information by asking for a fine. It threatens to post users' porn storage details on FBI Cyber Crime Department's data centre. The ransomware spreads through social media and messenger as a ""video streaming optimiser"".
",android ransomware use fake fbi porn warning steal user credit card info new android ransomware surface encrypt user file pose fbi accuse user store porn phone steal credit card information ask fine threaten post user porn storage detail fbi cyber crime department datum centre ransomware spread social medium messenger video stream optimiser
Ban him for life if you have evidence against him: Kamran to PCB on Umar's 3-year ban,"Referring to his brother Umar Akmal getting banned from all forms of cricket for three years, Kamran Akmal said, ""If PCB feels Umar has done something wrong then they should ban him for life if they have evidence to support it."" He added, ""All we can do is appeal against this decision, so that it can be reviewed again.""",sports,"Ban him for life if you have evidence against him: Kamran to PCB on Umar's 3-year ban. Referring to his brother Umar Akmal getting banned from all forms of cricket for three years, Kamran Akmal said, ""If PCB feels Umar has done something wrong then they should ban him for life if they have evidence to support it."" He added, ""All we can do is appeal against this decision, so that it can be reviewed again.""",ban life evidence kamran pcb umar year ban refer brother umar akmal get ban form cricket three year kamran akmal say pcb feel umar something wrong ban life evidence support add appeal decision review
"You are a snake, you are worse than coronavirus: Gayle to Sarwan over CPL row","After being released by Caribbean Premier League side Jamaica Tallawahs, West Indies opener Chris Gayle blamed assistant coach Ramnaresh Sarwan for his fallout with the franchise. ""Sarwan, you're worse than coronavirus right now...You are a snake...You are so vindictive, you are still immature, you are back-stabbing,"" he added. ""So many players were traumatised because of Sarwan,"" he further said.",sports,"You are a snake, you are worse than coronavirus: Gayle to Sarwan over CPL row. After being released by Caribbean Premier League side Jamaica Tallawahs, West Indies opener Chris Gayle blamed assistant coach Ramnaresh Sarwan for his fallout with the franchise. ""Sarwan, you're worse than coronavirus right now...You are a snake...You are so vindictive, you are still immature, you are back-stabbing,"" he added. ""So many players were traumatised because of Sarwan,"" he further said.",snake bad coronavirus gayle sarwan cpl row release caribbean premier league side jamaica tallawah west indie opener chris gayle blame assistant coach ramnaresh sarwan fallout franchise sarwan bad coronaviru right snake vindictive still immature back stabbing add many player traumatise sarwan say
Umar Akmal banned from all forms of cricket for 3 years over corruption,"Pakistan batsman Umar Akmal has been banned from all forms of cricket for three years over corruption charges. The decision was announced by the Pakistan Cricket Board's disciplinary committee, headed by Justice (retired) Fazal-e-Miran Chauhan, after the cricketer decided not to fight the charges against him. Akmal had failed to report multiple approaches of match-fixing by bookies.",sports,"Umar Akmal banned from all forms of cricket for 3 years over corruption. Pakistan batsman Umar Akmal has been banned from all forms of cricket for three years over corruption charges. The decision was announced by the Pakistan Cricket Board's disciplinary committee, headed by Justice (retired) Fazal-e-Miran Chauhan, after the cricketer decided not to fight the charges against him. Akmal had failed to report multiple approaches of match-fixing by bookies.",umar akmal ban form cricket year corruption pakistan batsman umar akmal ban form cricket three year corruption charge decision announce pakistan cricket board disciplinary committee head justice retire fazal e miran chauhan cricketer decide not fight charge akmal fail report multiple approach match fixing bookie
Australia players won't be greedy in pay talks: Paine over COVID-19,"Australia Test captain Tim Paine has said that the players ""won't be greedy"" if they are asked to take a pay cut due to the suspension of cricketing events over coronavirus pandemic. ""Our livelihood is dependent on cricket being healthy,"" he stated. ""Lot of sponsors have been pretty hard hit and it's obviously going to hit Cricket Australia,"" he added. ",sports,"Australia players won't be greedy in pay talks: Paine over COVID-19. Australia Test captain Tim Paine has said that the players ""won't be greedy"" if they are asked to take a pay cut due to the suspension of cricketing events over coronavirus pandemic. ""Our livelihood is dependent on cricket being healthy,"" he stated. ""Lot of sponsors have been pretty hard hit and it's obviously going to hit Cricket Australia,"" he added. ",australia player not greedy pay talk paine covid australia test captain tim paine say player not greedy ask take pay cut due suspension cricket event coronavirus pandemic livelihood dependent cricket healthy state lot sponsor pretty hard hit obviously go hit cricket australia add
East Bengal terminate players' contracts citing COVID-19 pandemic,"I-League club East Bengal have reportedly terminated the contracts of some of their players and support staff citing the coronavirus pandemic and the cancellation of remaining matches of the current season. Some of the players have been asked to take a pay cut of up to 50%, reports claimed. Mohun Bagan have been crowned I-League 2019-20 champions. ",sports,"East Bengal terminate players' contracts citing COVID-19 pandemic. I-League club East Bengal have reportedly terminated the contracts of some of their players and support staff citing the coronavirus pandemic and the cancellation of remaining matches of the current season. Some of the players have been asked to take a pay cut of up to 50%, reports claimed. Mohun Bagan have been crowned I-League 2019-20 champions. ",east bengal terminate player contract cite covid pandemic league club east bengal reportedly terminate contract player support staff cite coronavirus pandemic cancellation remain match current season player ask take pay cut report claim mohun bagan crown league champion
Ashwin's contract with Yorkshire for English county season cancelled,"India off-spinner Ravichandran Ashwin will not feature in the English County Championship after Yorkshire announced that they were cancelling their overseas player contracts over the coronavirus pandemic. Several counties have terminated contracts of their overseas players as a cost-saving measure. Apart from Ashwin's, the contracts of Nicholas Pooran and Keshav Maharaj have also been terminated. ",sports,"Ashwin's contract with Yorkshire for English county season cancelled. India off-spinner Ravichandran Ashwin will not feature in the English County Championship after Yorkshire announced that they were cancelling their overseas player contracts over the coronavirus pandemic. Several counties have terminated contracts of their overseas players as a cost-saving measure. Apart from Ashwin's, the contracts of Nicholas Pooran and Keshav Maharaj have also been terminated. ",ashwin contract yorkshire english county season cancel india spinner ravichandran ashwin not feature english county championship yorkshire announce cancel overseas player contract coronavirus pandemic several county terminate contract overseas player cost save measure apart ashwin contract nichola pooran keshav maharaj also terminate
"French GP 10th F1 race to be called off, British GP likely without fans ","The French F1 Grand Prix scheduled for June 28 has been cancelled, becoming the 10th F1 race of 2020 to be either scrapped or postponed over the coronavirus pandemic. Meanwhile, the British Grand Prix organisers have said that they are talking to the government about the viability of holding the F1 race on July 19 with no fans.",sports,"French GP 10th F1 race to be called off, British GP likely without fans . The French F1 Grand Prix scheduled for June 28 has been cancelled, becoming the 10th F1 race of 2020 to be either scrapped or postponed over the coronavirus pandemic. Meanwhile, the British Grand Prix organisers have said that they are talking to the government about the viability of holding the F1 race on July 19 with no fans.",french gp th f race call british gp likely without fan french f grand prix schedule june cancel become th f race either scrap postpone coronavirus pandemic meanwhile british grand prix organiser say talk government viability hold f race july no fan
Disheartened to hear about domestic violence amid lockdown: Dhawan,"India opener Shikhar Dhawan has shared a video of him working out with his family, urging people not to engage in domestic violence amid the lockdown. ""I'm truly sad and disheartened to hear about domestic violence...we need to put an end to it,"" he said. The National Commission for Women has reported an increase in domestic violence cases amid lockdown. ",sports,"Disheartened to hear about domestic violence amid lockdown: Dhawan. India opener Shikhar Dhawan has shared a video of him working out with his family, urging people not to engage in domestic violence amid the lockdown. ""I'm truly sad and disheartened to hear about domestic violence...we need to put an end to it,"" he said. The National Commission for Women has reported an increase in domestic violence cases amid lockdown. ",dishearten hear domestic violence amid lockdown dhawan india opener shikhar dhawan share video work family urge people not engage domestic violence amid lockdown truly sad dishearten hear domestic violence need put end say national commission woman report increase domestic violence case amid lockdown
Indian badminton body ready to host Olympic qualifier event in Dec-Jan,"The Badminton Association of India (BAI) has replied to the world federation, conveying its readiness to conduct India Open, an Olympic qualifier event, either in December or January, provided the coronavirus pandemic subsides. ""They asked if we can host the event in September, but gauging the uncertainties around, we have given December-January,"" stated BAI General Secretary.",sports,"Indian badminton body ready to host Olympic qualifier event in Dec-Jan. The Badminton Association of India (BAI) has replied to the world federation, conveying its readiness to conduct India Open, an Olympic qualifier event, either in December or January, provided the coronavirus pandemic subsides. ""They asked if we can host the event in September, but gauging the uncertainties around, we have given December-January,"" stated BAI General Secretary.",indian badminton body ready host olympic qualifier event dec jan badminton association india bai reply world federation convey readiness conduct india open olympic qualifier event either december january provide coronavirus pandemic subside ask host event september gauge uncertainty around give december january state bai general secretary
US Open 10th BWF World Tour event to be suspended over COVID-19,"The Badminton World Federation (BWF) has suspended the US Open, scheduled to be held from June 23 to 28, due to the coronavirus pandemic. It's the tenth BWF World Tour event to be suspended due to the virus which has now claimed over 2,11,500 lives world over. All England Open was the last BWF event to take place. ",sports,"US Open 10th BWF World Tour event to be suspended over COVID-19. The Badminton World Federation (BWF) has suspended the US Open, scheduled to be held from June 23 to 28, due to the coronavirus pandemic. It's the tenth BWF World Tour event to be suspended due to the virus which has now claimed over 2,11,500 lives world over. All England Open was the last BWF event to take place. ",us open th bwf world tour event suspend covid badminton world federation bwf suspend us open schedule hold june due coronavirus pandemic tenth bwf world tour event suspend due virus claim life world england open last bwf event take place
FIFA Medical Committee chief suggests yellow card for spitting during matches,"FIFA's Medical Committee chairman Michel D'Hooghe has suggested showing a yellow card to players for spitting in games due to the potential spread of coronavirus from saliva. ""This [spitting] is a common practice in football and it is not very hygienic,"" D'Hooghe was quoted in a report as saying. ""It is a good way to spread the virus,"" he added.",sports,"FIFA Medical Committee chief suggests yellow card for spitting during matches. FIFA's Medical Committee chairman Michel D'Hooghe has suggested showing a yellow card to players for spitting in games due to the potential spread of coronavirus from saliva. ""This [spitting] is a common practice in football and it is not very hygienic,"" D'Hooghe was quoted in a report as saying. ""It is a good way to spread the virus,"" he added.",fifa medical committee chief suggest yellow card spitting match fifas medical committee chairman michel dhooghe suggest show yellow card player spit game due potential spread coronavirus saliva [ spitting ] common practice football not hygienic dhooghe quote report say good way spread virus add
